Guide ID	gene	CS	FS
YALI1_E18212g_1	E18212g	6.724675410057413	0.5758919098287898
YALI1_E18212g_3	E18212g	7.067120448341551	0.7938702301330283
YALI1_E18212g_4	E18212g	5.6776690025984236	0.5758919098287898
YALI1_E18212g_6	E18212g	6.605518492979682	0.24436238835971072
YALI1_B02021g_1	B02021g	6.959461266755274	-0.30383983215215404
YALI1_B02021g_4	B02021g	5.688916304825539	0.985126264061683
YALI1_B02021g_5	B02021g	7.785892120484105	7.115573389967267
YALI1_B02021g_6	B02021g	6.555908646198494	-0.30576193537600815
YALI1_F32841g_1	F32841g	7.118566667031174	-1.192795115405598
YALI1_F32841g_2	F32841g	6.486223104584133	0.5758919098287898
YALI1_F32841g_4	F32841g	6.709059133685392	6.3999983319543645
YALI1_F36332g_2	F36332g	5.364483293273278	0.34954110786974535
YALI1_F36332g_3	F36332g	6.633068317124663	1.400312115526898
YALI1_F36332g_4	F36332g	5.378951067637489	-0.9934298954603035
YALI1_F39743g_2	F39743g	8.264058995617553	-1.3528889897261402
YALI1_C32392g_6	C32392g	6.409378594508791	0.5837787046862275
YALI1_A04006g_1	A04006g	6.708084024642223	-0.10526529584073543
YALI1_A04006g_2	A04006g	5.670497254054856	-0.17958690135861316
YALI1_C01720g_4	C01720g	6.23875250715031	0.5298645343118858
YALI1_C01720g_5	C01720g	7.774504910902423	-0.5021159492039965
YALI1_D27884g_4	D27884g	5.8211861504358415	3.968298490237579
YALI1_D27884g_5	D27884g	6.141289130607249	-0.5425141158548199
YALI1_E22718g_1	E22718g	7.327405877844915	0.5758919098287898
YALI1_E22718g_3	E22718g	7.807307932112108	2.0497315617778438
YALI1_E22718g_6	E22718g	7.354399439677944	0.5758919098287898
YALI1_F02199g_1	F02199g	6.526980519207589	0.5758919098287898
YALI1_F02199g_2	F02199g	5.2374549400034445	0.5758919098287898
YALI1_F17907g_3	F17907g	5.934974179621148	0.5758919098287898
YALI1_F17907g_4	F17907g	5.6816981125728665	0.5758919098287898
YALI1_D33229g_3	D33229g	5.054712695062422	-0.4971305434454996
YALI1_D33229g_4	D33229g	6.005673335314194	0.5758919098287898
YALI1_D33229g_5	D33229g	6.753308346891194	1.9612505225206964
YALI1_D34508g_4	D34508g	5.543836007759138	-5.923319159852733
YALI1_D34508g_6	D34508g	6.299647889626135	-5.014020868814474
YALI1_E07306g_4	E07306g	5.304866700461605	0.4533933277203315
YALI1_E07306g_5	E07306g	7.68576267354893	0.14847841184726213
