gene	FS_gene
E18212g	0.5475041095375797
F32841g	1.9276983754591857
B02021g	1.8727744716251968
F36332g	0.25214110931211325
F39743g	-1.3528889897261402
C32392g	0.5837787046862275
A04006g	-0.1424260985996743
C01720g	0.013874292553944678
D27884g	1.7128921871913794
E22718g	1.0671717938118077
F02199g	0.5758919098287898
F17907g	0.5758919098287898
D33229g	0.6800039629679956
D34508g	-5.468670014333604
E07306g	0.3009358697837968
E07471g	-0.5908943748095108
A13227g	7.0271708710557075
E19916g	-1.4375959096569937
E38561g	0.5622666049440117
E40467g	0.5758919098287898
F11689g	-1.056781938202159
A02819g	-2.8149202210689004
B29505g	1.2512292795503843
E35221g	2.5424798448375148
C27109g	-0.4746323964735427
C16200g	1.0148487885572512
C29595g	0.5450253910781868
F23351g	0.5758919098287898
D09910g	-4.9031273609752235
B27102g	1.1367253541418907
B19844g	0.7137327828082146
D00040g	0.8431053682936659
C23873g	-0.22645352866404156
F24401g	-1.1993141000290297
A18514g	-0.35547048823214816
E11807g	3.103654664714011
E36036g	0.6298498480405692
E40785g	-1.8590361179604469
F29652g	-1.2193929321225812
C03197g	0.4020260786079517
C17580g	0.6843575888691451
F33189g	0.09832918204116299
D13388g	1.6567249977208032
E33285g	0.5758919098287898
F13017g	-4.369646161958123
C02831g	1.0089772392559273
A21345g	0.19393516397307037
E04672g	-0.9405328873737903
A03183g	0.6659865811874821
B03673g	-1.1447807542985893
E09769g	-0.8965113644715762
E27774g	1.3181394072041885
E27548g	-5.744304761216062
F34737g	0.5519956854702098
E10247g	4.565410026264066
E02948g	3.5009568928445884
F05814g	-0.29087708852434624
C10860g	-1.1501692979022966
B11960g	-0.49583686526115756
D20050g	-2.920526287878712
B28454g	-0.009844468436825182
D11406g	-0.6176713032552477
C16961g	2.798897757123779
D29419g	1.1209405886630568
B11681g	1.0836762191866818
C18161g	-5.045949595426341
F17473g	2.442011643351122
E25453g	1.4759706012882574
C29402g	-0.2503599583600213
E12987g	-0.8471247986620053
C12619g	0.5758919098287898
F39891g	0.8129756314986859
F18226g	-0.18987834462471714
D03766g	0.35754999419298455
D22834g	3.777003225153083
F35746g	-0.573527152698956
D26242g	-1.644148904891059
E40571g	1.0664243237320348
E14619g	-1.7689123650327925
B10359g	-0.8167978663606928
B15692g	0.5758919098287898
D03412g	-0.6350493304729579
C33406g	0.06764760887497157
E31754g	0.0934161475254559
A15863g	-1.7619764331779788
E31897g	0.24736694646275928
E12013g	1.1976773776936795
B06776g	1.919628019199273
F12330g	-0.6338292419803905
D17854g	0.8471357800655571
D06859g	0.8372857622817758
F26167g	-1.0406854918361073
E22218g	-0.7080738514440691
D22237g	0.5758919098287898
B09044g	-0.5781001048191844
D33978g	-0.20307577282996742
F11956g	0.824400296481333
C32975g	0.672397978366338
D05822g	-1.7631548985361254
E16433g	-0.294880480363074
E15321g	-0.7631641211926077
D09326g	0.1766362465392929
E10148g	0.05681667457754774
B17468g	2.4602208013497244
E23736g	1.549140523557252
F02903g	-0.7452635250167041
B05350g	0.8631168219642011
E19603g	0.7580006163972077
E32332g	-0.2591181557297345
A08941g	0.5758919098287898
A20884g	0.37547708787760126
F34029g	0.7739849435380619
A00715g	-2.726394128824546
C15674g	-1.9464216813493795
E35280g	-1.207907235696466
B01357g	2.8109455017641634
E40691g	-0.12449441098567367
A11676g	1.8115268573135441
A05662g	0.3156309077098425
F32056g	-0.366396500020071
E23256g	-0.7681401182000123
E03672g	0.2879152295129067
B28394g	0.9771241775323307
E36805g	-3.082188365818475
D15734g	-0.8810333649217352
E33888g	0.8287787948080039
D16990g	2.2707454320017395
C29447g	2.596637928871402
D31402g	-0.2582911233826187
F05205g	-1.2495019011288917
D11614g	-2.265891503363602
B07598g	-2.362129070654015
B27588g	-0.45439562611694284
E23389g	-0.3960909919870802
D22208g	0.5758919098287898
C07216g	0.25452330674124146
F23133g	0.5758919098287898
C30614g	-2.6841856980395087
E20596g	1.2663424910531083
E24180g	-4.225713860207062
C30859g	0.6129373937451248
A17450g	-0.9305898075059301
C24460g	0.3086664476059326
A19483g	-1.8419863356077837
C17728g	0.5813946883243241
D15807g	0.8281628863333113
C30541g	-0.5933656184802844
E32776g	-0.1609311037323733
F10224g	-1.7367482371513958
E28903g	0.8612894847384641
F03481g	1.2055007852720876
B12489g	-2.2417480273240704
F06797g	-2.9792239680589816
F11199g	-2.181696735859241
D23274g	2.5843885418952115
C00164g	0.8657975396294078
D04017g	-2.289899069864573
A08486g	1.06011236028025
F04106g	0.5758919098287898
B12195g	-0.7906576158308316
C31122g	2.8378184725029154
B23866g	4.135158709641777
E38107g	0.7797192388913108
F19938g	-0.10441741943143207
F21174g	0.5758919098287898
A17622g	2.621762544345436
B15655g	0.5401920586460409
F38859g	2.310342713954626
E20070g	0.17005165156528598
D09000g	-1.4496719719574602
E03870g	1.8086647872758763
C22556g	0.5758919098287898
E18171g	0.5758919098287898
F36710g	-0.1698232513749398
E25126g	-0.633137070390159
F15990g	0.2746897432579854
F07604g	-1.9763703887357782
D02625g	-4.318654028103242
B05571g	2.1523145504917447
A09626g	-0.9782931033256052
D20784g	-2.528572555779277
B07937g	0.1860042319460764
D23730g	5.993533711036448
E11289g	2.9925096564704927
C24755g	-0.028655678931098882
E28259g	-0.21145030119170755
E32754g	-1.8861953063004926
E15144g	-0.3250298770870086
D32958g	0.5758919098287898
E09705g	0.5758919098287898
F24413g	1.1985622254504549
E13472g	2.064813668467626
E31229g	0.13566317519665816
D08693g	-1.3552140885684743
C24647g	-0.6313502993216096
C09033g	-0.20890821042406116
C07638g	0.5956186409238318
B10119g	2.9826612741627674
F36966g	2.3582152053065086
B20634g	1.935117664215834
D12909g	0.5886291175955305
C30795g	-2.8996876888024112
E09329g	-4.506743182518133
C26276g	3.515898886088035
D00515g	3.5915717544614756
B19079g	1.986347087229275
B28292g	-2.6891358133711916
E02265g	2.8386069067436748
E15074g	1.3517738138884146
F23784g	-0.9685770507226993
F32554g	0.8928816245979173
C13302g	-1.5870346034265754
F38820g	2.103391513692743
A10015g	2.03677884527033
A07226g	0.5758919098287898
E36179g	0.47697008802628904
B27984g	0.8733780154355857
E40972g	-1.476660245205075
C21664g	1.1231400103113083
E28405g	0.8786584657067364
D01234g	1.6306279661409586
E09972g	-1.096358387855626
E33278g	0.5758919098287898
F12983g	3.729419394548069
E00527g	0.685799089067866
E01623g	0.5758919098287898
D09790g	0.17311688544978193
C03550g	-0.4413045793656156
E33675g	0.7552120904861367
F17302g	1.1589247653336237
E07601g	0.19604373395029198
F36492g	1.0343866095615584
F10122g	-3.610720461296538
E13034g	1.0117945894684064
C13000g	0.5758919098287898
C32010g	-1.2015531674281192
C09150g	-1.3297438877348902
E17141g	-0.01883265400202172
F23331g	4.642870917582295
D14224g	-1.0848114981546089
B02637g	2.782457985719058
D11479g	-0.2775382637672543
F31902g	-1.190042211911826
B02696g	0.9113205084292535
B14645g	-0.9646089680357013
F05403g	0.2134512133801022
E01019g	-2.699955276235267
B04579g	0.21169736430026037
E03183g	-2.861661573431593
D07335g	-1.195339589759132
B11719g	0.4915256309993943
E15274g	2.578258355647246
E22736g	-1.6230303694908201
A19010g	0.022488928424888144
D17885g	1.4690507650231246
D03061g	-2.076247147896283
D08382g	0.041996906231619106
D12567g	0.6199819824257617
D34043g	0.5758919098287898
D19951g	0.5758919098287898
F35219g	4.7721957429544
E23014g	0.5758919098287898
A02037g	0.5758919098287898
E19757g	-1.0038503758697124
D15398g	0.5758919098287898
B23933g	1.4341232691600003
B01878g	-1.3068684465921807
E02574g	0.5553710358543603
A01736g	4.956166194609965
F38317g	-1.5363233060182735
A20247g	-0.15982364853731096
B24018g	2.0970300451475232
C23427g	-0.9452954786177619
D35143g	-0.01870780534629546
B14544g	4.328980176206523
E20766g	0.5758919098287898
A07290g	-4.430470375809868
F05459g	-4.367980039604453
F23484g	-1.563233404198338
F20059g	-0.24689426283982874
E40915g	1.2276626781333912
C09696g	-2.4672094173974704
B05646g	1.386972961402798
A03507g	2.3616145536454343
F23706g	1.3132064597415969
D36182g	-0.7871167306807537
A21746g	-0.4045582233147391
D28537g	1.1313416382691561
A21797g	0.9519184877753517
D13788g	1.0780028456498263
F01405g	2.5719923437428767
B00049g	-0.36814152337635003
C02152g	4.949012947167797
B12101g	2.8046475051743314
D15149g	1.529549743297956
A07575g	0.9078387173598966
E16597g	0.6130545712289086
E35478g	0.5758919098287898
E05709g	0.5758919098287898
D07945g	0.8975666604045625
F19192g	0.47522101719654
C33217g	0.19953290218474223
D15897g	2.6996889626923366
E06031g	-2.0230070520437256
E18269g	-0.3863918175502654
E19902g	-2.6567223432606837
D02499g	-0.1650088095087907
F17657g	-0.7832890063679491
D11844g	0.047812183643231976
B06110g	2.0857135765704085
C05252g	-0.7456086000375554
B15180g	3.2758508939477657
F00099g	1.8516002496806159
E29197g	-0.6544272054839808
F23551g	-1.0807437236424382
D05450g	2.1071016258996975
C15021g	-1.7941547806318567
E27610g	0.8731001127999584
C05931g	0.01706303535979754
D00888g	-1.0139493783110016
E02413g	2.971395371620177
F04626g	-3.009211924032051
E04420g	-0.3867053310490337
E34708g	1.916985100965851
B12970g	-0.7060379780246908
C00331g	0.5758919098287898
B25952g	-0.6349521882817042
D26610g	1.887256461386724
D33653g	0.7935274511791434
A07051g	-0.28046347647920705
F07361g	0.3257059383793279
E02290g	0.42805738609926797
E14925g	-0.9284915729374705
E26377g	0.5758919098287898
F09608g	10.583568182337501
F30416g	1.253067922264146
B23373g	0.5758919098287898
C10382g	0.2773264369602135
C07117g	1.042946619610604
E29433g	-1.6749917655822466
D23721g	0.4162712070174209
D16173g	2.429993908513515
C32294g	0.13548761083160019
C28611g	0.07609367310654767
D09623g	1.3973864447513191
C22944g	-2.500059940303385
D27718g	0.5129100500001416
E25955g	0.49359274164351974
F27929g	4.450360047819906
F35476g	-1.5747079214359303
C26621g	-0.4875036447131739
D32424g	0.03238238272386462
C18099g	1.942887291790442
D03221g	-2.136440571153161
F09737g	4.927057494793094
B28357g	2.148469872883701
C09878g	-1.6663307597679418
A16826g	6.7819994052813986
F09720g	-1.6543492613229056
E01947g	1.422231752637483
F03269g	-0.9907315526920594
D26765g	-1.5649916087321836
F24511g	-2.7262433184099604
F30593g	2.5288583918914815
F09282g	-0.1512924466547929
F19478g	0.9311434366675625
E15229g	-0.2944517678688129
D08360g	0.4566697402901408
F26692g	0.5758919098287898
E01163g	-0.11505224607586301
E31891g	0.3080201724278715
C17848g	-0.24959136660883685
F15038g	-0.30357168077451224
F11417g	4.266319260067007
A18622g	-1.8111063001765602
C03596g	0.5985321990759367
D22053g	-1.7509989826040466
C16420g	1.1849072302819248
C32810g	-2.7488569023349116
A01794g	0.9084102469262401
A22236g	-1.560865573080527
F09265g	0.5335324142121594
D01472g	-1.8242179993564627
C14595g	-0.13834509194509764
C04938g	0.46729856303828154
E16359g	-0.5186582673176288
F11481g	-0.546723502548958
D21022g	-0.23985575076394844
F17522g	-0.15707513853634492
C13676g	-0.008645493515346464
D16370g	0.548212681564895
C05178g	0.8389390529734754
E38749g	-0.19469613870417335
F08260g	0.39766327393656564
E27532g	0.3199083992779897
A19885g	-0.4598527387487423
F38161g	-2.029346773694992
